project,num_center_nodes,total_nodes
250492-v1.0.0-mixed,14,482
156217-v1.0.0-bad,28,2041
155523-v1.0.0-bad,22,1430
155686-v1.0.0-bad,21,1422
251187-v1.0.0-mixed,10,469
156334-v1.0.0-bad,25,1692
250734-v1.0.0-mixed,19,786
252057-v1.0.0-mixed,8,455
156365-v1.0.0-bad,42,2628
251187-v1.0.0-mixed,10,469
252057-v1.0.0-mixed,8,455
250492-v1.0.0-mixed,14,482
1584-v1.0.0-good,3,216
250734-v1.0.0-mixed,19,786
251557-v1.0.0-mixed,8,298
250632-v1.0.0-mixed,10,338
155686-v1.0.0-bad,21,1422
155523-v1.0.0-bad,22,1430
156334-v1.0.0-bad,25,1692
155228-v1.0.0-bad,19,1362
156217-v1.0.0-bad,28,2041
251755-v1.0.0-mixed,20,776
251572-v1.0.0-mixed,5,226
156442-v1.0.0-bad,10,1204
250503-v1.0.0-mixed,8,366
156365-v1.0.0-bad,42,2628
156979-v1.0.0-bad,22,1229
156557-v1.0.0-bad,31,2068
250396-v1.0.0-mixed,7,433
156021-v1.0.0-bad,42,3374
250722-v1.0.0-mixed,29,739
251529-v1.0.0-mixed,9,278
156244-v1.0.0-bad,76,4173
251173-v1.0.0-mixed,10,587
156048-v1.0.0-bad,51,3178
251558-v1.0.0-mixed,5,188
250899-v1.0.0-mixed,12,285
251826-v1.0.0-mixed,5,255
251952-v1.0.0-mixed,16,758
251546-v1.0.0-mixed,5,350
155646-v1.0.0-bad,12,1021
156105-v1.0.0-bad,65,3818
156512-v1.0.0-bad,16,1297
250572-v1.0.0-mixed,5,160
252070-v1.0.0-mixed,14,459
250707-v1.0.0-mixed,17,555
251468-v1.0.0-mixed,10,472
155963-v1.0.0-bad,41,1953
156078-v1.0.0-bad,67,4001
250776-v1.0.0-mixed,26,684
156965-v1.0.0-bad,39,2461
252063-v1.0.0-mixed,7,441
156581-v1.0.0-bad,44,2027
156136-v1.0.0-bad,63,3130
251272-v1.0.0-mixed,17,693
252023-v1.0.0-mixed,7,357
251340-v1.0.0-mixed,5,244
156654-v1.0.0-bad,35,3744
251887-v1.0.0-mixed,5,260
156378-v1.0.0-bad,42,1874
155763-v1.0.0-bad,33,2077
251001-v1.0.0-mixed,18,638
250803-v1.0.0-mixed,22,828
251006-v1.0.0-mixed,17,568
156036-v1.0.0-bad,26,1894
155471-v1.0.0-bad,40,1670
250475-v1.0.0-mixed,16,785
156332-v1.0.0-bad,17,1367
156383-v1.0.0-bad,57,2635
155359-v1.0.0-bad,31,2274
156736-v1.0.0-bad,33,2005
155190-v1.0.0-bad,56,4681
155935-v1.0.0-bad,29,1911
251442-v1.0.0-mixed,23,611
251260-v1.0.0-mixed,20,693
251672-v1.0.0-mixed,15,520
155888-v1.0.0-bad,190,12598
155128-v1.0.0-bad,55,2608
156421-v1.0.0-bad,16,1443
250509-v1.0.0-mixed,7,352
156901-v1.0.0-bad,46,2789
156209-v1.0.0-bad,71,6790
155913-v1.0.0-bad,8,760
251820-v1.0.0-mixed,5,177
250569-v1.0.0-mixed,5,250
251023-v1.0.0-mixed,11,582
250913-v1.0.0-mixed,10,491
250532-v1.0.0-mixed,5,250
501355-v1.0.1-good,44,4348
156521-v1.0.0-bad,65,3824
156583-v1.0.0-bad,178,12233
155695-v1.0.0-bad,140,2409
156106-v1.0.0-bad,31,2247
252035-v1.0.0-mixed,5,231
250583-v1.0.0-mixed,7,441
251579-v1.0.0-mixed,7,388
250520-v1.0.0-mixed,8,249
155589-v1.0.0-bad,60,3177
155365-v1.0.0-bad,103,4661
252078-v1.0.0-mixed,7,254
155214-v1.0.0-bad,42,1894
156324-v1.0.0-bad,40,3017
155372-v1.0.0-bad,20,1595
156634-v1.0.0-bad,140,19966
250616-v1.0.0-mixed,8,477
156158-v1.0.0-bad,29,2562
156801-v1.0.0-bad,84,3898
156329-v1.0.0-bad,24,1769
250975-v1.0.0-mixed,15,646
155978-v1.0.0-bad,48,2393
156877-v1.0.0-bad,28,2194
251096-v1.0.0-mixed,11,542
156235-v1.0.0-bad,17,3055
156666-v1.0.0-bad,176,21304
155945-v1.0.0-bad,68,3576
155878-v1.0.0-bad,48,2819
156700-v1.0.0-bad,30,1933
155586-v1.0.0-bad,34,2103
155666-v1.0.0-bad,55,2446
250456-v1.0.0-mixed,11,496
252125-v1.0.0-mixed,16,579
250660-v1.0.0-mixed,22,896
155123-v1.0.0-bad,25,1681
501347-v1.0.1-good,296,25520
250808-v1.0.0-mixed,22,855
155667-v1.0.0-bad,19,1047
250340-v1.0.0-mixed,5,174
251893-v1.0.0-mixed,5,192
251222-v1.0.0-mixed,10,436
155454-v1.0.0-bad,71,3282
156704-v1.0.0-bad,42,2460
251616-v1.0.0-mixed,19,826
251661-v1.0.0-mixed,21,569
251556-v1.0.0-mixed,8,274
250507-v1.0.0-mixed,7,352
156389-v1.0.0-bad,23,1919
156885-v1.0.0-bad,316,24374
251409-v1.0.0-mixed,14,522
156980-v1.0.0-bad,29,3194
251897-v1.0.0-mixed,5,266
250328-v1.0.0-mixed,22,394
155710-v1.0.0-bad,70,3502
155213-v1.0.0-bad,68,3641
251916-v1.0.0-mixed,14,730
156185-v1.0.0-bad,17,1644
156084-v1.0.0-bad,19,1877
155630-v1.0.0-bad,26,1731
156868-v1.0.0-bad,48,2345
156613-v1.0.0-bad,94,8059
250515-v1.0.0-mixed,5,249
156004-v1.0.0-bad,56,3043
251540-v1.0.0-mixed,8,429
251252-v1.0.0-mixed,25,988
251364-v1.0.0-mixed,22,392
251480-v1.0.0-mixed,7,318
251844-v1.0.0-mixed,7,421
251433-v1.0.0-mixed,16,681
156503-v1.0.0-bad,34,1975
250410-v1.0.0-mixed,10,335
251539-v1.0.0-mixed,8,397
156673-v1.0.0-bad,19,1363
251002-v1.0.0-mixed,18,662
1569-v1.0.0-good,6,347
250423-v1.0.0-mixed,16,576
251667-v1.0.0-mixed,16,590
155602-v1.0.0-bad,28,1997
156985-v1.0.0-bad,39,2425
156922-v1.0.0-bad,33,2107
156784-v1.0.0-bad,92,7979
155469-v1.0.0-bad,31,1902
155188-v1.0.0-bad,58,3835
251484-v1.0.0-mixed,9,263
252024-v1.0.0-mixed,7,347
250624-v1.0.0-mixed,25,486
251124-v1.0.0-mixed,7,376
156767-v1.0.0-bad,96,4458
251898-v1.0.0-mixed,8,196
155874-v1.0.0-bad,33,1630
155488-v1.0.0-bad,142,2482
156364-v1.0.0-bad,21,1810
251407-v1.0.0-mixed,14,492
251350-v1.0.0-mixed,5,196
251031-v1.0.0-mixed,25,598
155408-v1.0.0-bad,68,3544
250845-v1.0.0-mixed,22,850
251105-v1.0.0-mixed,25,546
156398-v1.0.0-bad,25,2044
251119-v1.0.0-mixed,7,344
156906-v1.0.0-bad,331,25014
251494-v1.0.0-mixed,7,336
250973-v1.0.0-mixed,20,569
156944-v1.0.0-bad,47,3092
155598-v1.0.0-bad,60,4672
156419-v1.0.0-bad,21,2039
1597-v1.0.0-good,2,260
155338-v1.0.0-bad,16,2156
155659-v1.0.0-bad,108,4899
251422-v1.0.0-mixed,20,720
250858-v1.0.0-mixed,17,526
251139-v1.0.0-mixed,8,445
156888-v1.0.0-bad,36,2208
251662-v1.0.0-mixed,13,590
156808-v1.0.0-bad,219,16034
252101-v1.0.0-mixed,5,402
252028-v1.0.0-mixed,7,381
155366-v1.0.0-bad,56,2452
155806-v1.0.0-bad,27,1632
251356-v1.0.0-mixed,8,383
156959-v1.0.0-bad,34,2199
156758-v1.0.0-bad,24,1675
251717-v1.0.0-mixed,11,556
251695-v1.0.0-mixed,16,790
251360-v1.0.0-mixed,7,342
251243-v1.0.0-mixed,26,975
156023-v1.0.0-bad,43,4269
250738-v1.0.0-mixed,23,777
156853-v1.0.0-bad,37,3299
156861-v1.0.0-bad,19,1714
155631-v1.0.0-bad,43,2831
251230-v1.0.0-mixed,7,413
252020-v1.0.0-mixed,8,361
155101-v1.0.0-bad,74,2336
156017-v1.0.0-bad,39,2912
250784-v1.0.0-mixed,15,475
156293-v1.0.0-bad,21,1434
155317-v1.0.0-bad,204,15178
251008-v1.0.0-mixed,15,609
250774-v1.0.0-mixed,13,545
251962-v1.0.0-mixed,14,545
156962-v1.0.0-bad,34,2514
156497-v1.0.0-bad,31,2271
251886-v1.0.0-mixed,14,308
251654-v1.0.0-mixed,19,811
250631-v1.0.0-mixed,10,314
251665-v1.0.0-mixed,13,575
156372-v1.0.0-bad,35,2766
157001-v1.0.0-bad,34,1950
251595-v1.0.0-mixed,5,188
156683-v1.0.0-bad,76,3469
251818-v1.0.0-mixed,5,177
155719-v1.0.0-bad,51,2853
156205-v1.0.0-bad,12,2311
251061-v1.0.0-mixed,10,553
251865-v1.0.0-mixed,5,269
251791-v1.0.0-mixed,5,252
250642-v1.0.0-mixed,7,332
156104-v1.0.0-bad,48,4306
251323-v1.0.0-mixed,7,347
251951-v1.0.0-mixed,16,758
252065-v1.0.0-mixed,7,475
251575-v1.0.0-mixed,9,398
251419-v1.0.0-mixed,11,503
155844-v1.0.0-bad,27,1683
156807-v1.0.0-bad,93,8125
251263-v1.0.0-mixed,19,620
155319-v1.0.0-bad,32,2325
251183-v1.0.0-mixed,17,530
250923-v1.0.0-mixed,14,500
155740-v1.0.0-bad,17,1113
156038-v1.0.0-bad,81,7494
1568-v1.0.0-good,6,346
156839-v1.0.0-bad,32,2165
251843-v1.0.0-mixed,7,421
156706-v1.0.0-bad,24,1808
250716-v1.0.0-mixed,15,633
250958-v1.0.0-mixed,23,620
155222-v1.0.0-bad,71,3224
250850-v1.0.0-mixed,29,758
156269-v1.0.0-bad,29,2166
250358-v1.0.0-mixed,7,448
251921-v1.0.0-mixed,11,554
251482-v1.0.0-mixed,10,333
251967-v1.0.0-mixed,11,481
156735-v1.0.0-bad,64,3193
250371-v1.0.0-mixed,10,308
250489-v1.0.0-mixed,5,244
156127-v1.0.0-bad,42,1948
251077-v1.0.0-mixed,9,346
155446-v1.0.0-bad,21,1701
155604-v1.0.0-bad,18,1167
155961-v1.0.0-bad,16,953
251800-v1.0.0-mixed,8,388
156320-v1.0.0-bad,14,2132
155750-v1.0.0-bad,33,1813
251553-v1.0.0-mixed,14,304
155610-v1.0.0-bad,28,2057
251601-v1.0.0-mixed,5,264
155593-v1.0.0-bad,61,4660
156596-v1.0.0-bad,39,2509
2185-v1.0.0-good,5,603
155156-v1.0.0-bad,15,1018
250721-v1.0.0-mixed,13,503
155257-v1.0.0-bad,31,2236
250686-v1.0.0-mixed,22,871
155567-v1.0.0-bad,19,917
156384-v1.0.0-bad,50,3429
156470-v1.0.0-bad,14,1465
155472-v1.0.0-bad,89,1889
156724-v1.0.0-bad,27,1858
251698-v1.0.0-mixed,17,533
250627-v1.0.0-mixed,14,455
250402-v1.0.0-mixed,25,483
251270-v1.0.0-mixed,19,635
156005-v1.0.0-bad,18,1597
251917-v1.0.0-mixed,16,790
251287-v1.0.0-mixed,23,922
251883-v1.0.0-mixed,11,254
156942-v1.0.0-bad,63,3716
155992-v1.0.0-bad,69,3607
156062-v1.0.0-bad,14,1511
156037-v1.0.0-bad,22,1839
